date,county,rooms,rooms_occupied,trailers_requested,trailers_delivered,donated_trailers_delivered
4/17/2020,Modoc,10,0,0,0,0
4/17/2020,Monterey,0,0,108,0,8
4/17/2020,Napa,104,47,18,0,0
4/17/2020,Nevada,27,0,0,0,0
4/17/2020,Orange,276,31,78,76,0
4/17/2020,Placer,15,15,0,0,0
4/17/2020,Plumas,0,0,0,0,0
4/17/2020,Riverside,422,303,15,15,0
4/17/2020,Sacramento,316,63,63,63,0
4/17/2020,San Benito,67,32,3,0,0
4/17/2020,San Bernardino,50,37,20,0,20
4/17/2020,San Diego,2029,409,45,45,0
4/17/2020,San Francisco,1271,748,0,0,0
4/17/2020,San Joaquin,0,0,0,0,0
4/17/2020,San Luis Obispo,154,4,14,14,0
4/17/2020,San Mateo,94,94,0,0,0
4/17/2020,Santa Barbara,76,0,0,0,0
4/17/2020,Santa Clara,453,234,105,105,0
4/17/2020,Santa Cruz,27,19,35,0,0
4/17/2020,Shasta,20,0,0,0,0
4/17/2020,Sierra,0,0,0,0,0
4/17/2020,Siskiyou,0,0,6,0,0
4/17/2020,Solano,0,0,0,0,0
4/17/2020,Sonoma,45,45,0,0,0
4/17/2020,Stanislaus,121,1,0,0,0
4/17/2020,Sutter,16,16,0,0,0
4/17/2020,Tehama,0,0,5,5,0
4/17/2020,Trinity,10,0,0,0,0
4/17/2020,Tulare,23,0,0,0,0
4/17/2020,Tuolumne,0,0,0,0,0
4/17/2020,Ventura,398,275,0,0,0
4/17/2020,Yolo,246,206,0,0,0
4/17/2020,Yuba,35,18,0,0,0
4/18/2020,Alameda,403,313,91,85,0
4/18/2020,Alpine,0,0,0,0,0
4/18/2020,Amador,0,0,0,0,0
4/18/2020,Butte,94,94,0,0,0
4/18/2020,Calaveras,20,20,0,0,0
4/18/2020,Colusa,0,0,0,0,0
4/18/2020,Contra Costa,340,3,0,0,0
4/18/2020,Del Norte,0,0,0,0,0
4/18/2020,El Dorado,0,0,0,0,0
4/18/2020,Fresno,305,250,28,28,0
4/18/2020,Glenn,0,0,0,0,0
4/18/2020,Humboldt,44,11,15,0,0
4/18/2020,Imperial,36,0,0,0,0
4/18/2020,Inyo,10,1,0,0,0
4/18/2020,Kern,2,2,15,15,0
4/18/2020,Kings,0,0,0,0,0
4/18/2020,Lake,10,10,0,0,0
4/18/2020,Lassen,1,1,0,0,0
4/18/2020,Los Angeles,3085,830,658,654,0
4/18/2020,Madera,0,0,0,0,0
4/18/2020,Marin,112,72,44,0,0
4/18/2020,Mariposa,44,3,0,0,0
4/18/2020,Mendocino,128,82,0,0,0
4/18/2020,Merced,10,0,0,0,0
4/18/2020,Mono,48,1,0,0,0
4/18/2020,Modoc,10,0,0,0,0
4/18/2020,Monterey,0,0,108,15,8
4/18/2020,Napa,104,47,18,0,0
4/18/2020,Nevada,27,0,0,0,0
4/18/2020,Orange,276,31,78,76,0
4/18/2020,Placer,15,15,0,0,0
4/18/2020,Plumas,0,0,0,0,0
4/18/2020,Riverside,422,303,15,15,0
4/18/2020,Sacramento,316,63,63,63,0
4/18/2020,San Benito,67,37,3,0,0
4/18/2020,San Bernardino,50,37,20,0,20
4/18/2020,San Diego,2029,409,45,45,0
4/18/2020,San Francisco,1271,710,0,0,0
4/18/2020,San Joaquin,0,0,0,0,0
4/18/2020,San Luis Obispo,154,4,14,14,0
4/18/2020,San Mateo,94,94,0,0,0
4/18/2020,Santa Barbara,76,0,0,0,0
4/18/2020,Santa Clara,453,234,105,105,0
4/18/2020,Santa Cruz,27,19,35,0,0
4/18/2020,Shasta,20,0,0,0,0
4/18/2020,Sierra,0,0,0,0,0
4/18/2020,Siskiyou,0,0,6,6,0
4/18/2020,Solano,0,0,0,0,0
4/18/2020,Sonoma,45,45,0,0,0
4/18/2020,Stanislaus,121,1,0,0,0
4/18/2020,Sutter,16,16,0,0,0
4/18/2020,Tehama,0,0,5,5,0
4/18/2020,Trinity,10,0,0,0,0
4/18/2020,Tulare,56,0,0,0,0
4/18/2020,Tuolumne,0,0,0,0,0
4/18/2020,Ventura,398,275,0,0,0
4/18/2020,Yolo,246,206,0,0,0
4/18/2020,Yuba,35,18,0,0,0
4/19/2020,Alameda,403,328,91,85,0
4/19/2020,Alpine,0,0,0,0,0
4/19/2020,Amador,0,0,0,0,0
4/19/2020,Butte,94,94,0,0,0
4/19/2020,Calaveras,20,20,0,0,0
4/19/2020,Colusa,0,0,0,0,0
4/19/2020,Contra Costa,340,3,0,0,0
4/19/2020,Del Norte,0,0,0,0,0
4/19/2020,El Dorado,0,0,0,0,0
4/19/2020,Fresno,305,250,28,28,0
4/19/2020,Glenn,0,0,0,0,0
4/19/2020,Humboldt,44,11,15,0,0
4/19/2020,Imperial,36,0,0,0,0
4/19/2020,Inyo,10,1,0,0,0
4/19/2020,Kern,2,2,15,15,0
4/19/2020,Kings,0,0,0,0,0
4/19/2020,Lake,10,10,0,0,0
4/19/2020,Lassen,1,1,0,0,0
4/19/2020,Los Angeles,3172,830,658,654,0
4/19/2020,Madera,0,0,0,0,0
4/19/2020,Marin,112,72,44,0,0
4/19/2020,Mariposa,44,3,0,0,0
4/19/2020,Mendocino,128,82,0,0,0
4/19/2020,Merced,10,0,0,0,0
4/19/2020,Mono,48,1,0,0,0
4/19/2020,Modoc,10,0,0,0,0
4/19/2020,Monterey,0,0,108,15,8
4/19/2020,Napa,104,47,18,0,0
4/19/2020,Nevada,27,0,0,0,0
4/19/2020,Orange,276,31,78,76,0
4/19/2020,Placer,15,15,0,0,0
4/19/2020,Plumas,0,0,0,0,0
4/19/2020,Riverside,422,303,15,15,0
4/19/2020,Sacramento,316,63,63,63,0
4/19/2020,San Benito,67,48,3,0,0
4/19/2020,San Bernardino,50,37,20,0,20
4/19/2020,San Diego,2029,409,45,45,0
4/19/2020,San Francisco,1273,725,0,0,0
4/19/2020,San Joaquin,0,0,8,0,0
4/19/2020,San Luis Obispo,154,4,14,14,0
4/19/2020,San Mateo,94,94,0,0,0
4/19/2020,Santa Barbara,76,0,0,0,0
4/19/2020,Santa Clara,453,234,105,105,0
4/19/2020,Santa Cruz,27,20,35,0,0
4/19/2020,Shasta,20,0,0,0,0
4/19/2020,Sierra,0,0,0,0,0
4/19/2020,Siskiyou,0,0,6,6,0
4/19/2020,Solano,0,0,0,0,0
4/19/2020,Sonoma,45,45,0,0,0
4/19/2020,Stanislaus,121,1,0,0,0
4/19/2020,Sutter,16,16,0,0,0
4/19/2020,Tehama,0,0,5,5,0
4/19/2020,Trinity,10,0,0,0,0
4/19/2020,Tulare,56,0,0,0,0
4/19/2020,Tuolumne,0,0,0,0,0
4/19/2020,Ventura,398,275,0,0,0
4/19/2020,Yolo,246,206,0,0,0
4/19/2020,Yuba,35,18,0,0,0
4/20/2020,Alameda,403,328,91,91,0
4/20/2020,Alpine,0,0,0,0,0
4/20/2020,Amador,0,0,0,0,0
4/20/2020,Butte,82,82,0,0,0
4/20/2020,Calaveras,20,20,0,0,0
4/20/2020,Colusa,0,0,0,0,0
4/20/2020,Contra Costa,340,3,0,5,0
4/20/2020,Del Norte,0,0,0,0,0
4/20/2020,El Dorado,0,0,0,0,0
4/20/2020,Fresno,305,250,28,28,0
4/20/2020,Glenn,0,0,0,0,0
